,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
110,2010,0.415,1.4193332,3.52,3.1483335,1.7129999,0.48049995,0.6465,0.3975,0.06949999,1.2495,1.6005,0.11916666
111,2011,-0.3703333,0.82666665,1.0683333,-0.13216667,1.2959999,-0.39366665,0.34383336,0.34133333,0.14633332,0.7398333,2.1673331,0.6744999
112,2012,-0.461,-0.43699998,0.39733332,0.42183334,0.8843333,1.3531666,1.0979999,0.3278333,0.22083332,0.07366667,0.433,0.76816666
113,2013,-0.12049999,0.48766664,0.9396667,0.147,1.2291666,-0.66166663,0.26166666,0.13883333,1.0108333,0.98033327,0.18416667,0.7226667
114,2014,0.13416667,-0.5845,-0.5543333,-0.11383333,-0.28633335,1.2638334,1.0298333,1.051,0.44966665,0.7688333,1.0988333,-0.21583334
115,2015,-0.066,1.7348332,-0.48533332,-0.054,1.084,-0.29349998,0.22133332,0.6978333,1.1731666,1.4185001,1.8134999,0.84316665
116,2016,1.5184999,1.8538333,1.7754999,1.9506665,1.3521667,0.93366665,0.33416665,0.3323333,1.1216666,1.3078333,1.0971667,2.1358333
117,2017,0.7338333,1.7383333,0.8666667,2.0488331,1.3526666,-0.13966666,0.25066668,0.81399995,0.9948333,1.7771666,0.6008333,1.0805
118,2018,1.2099999,2.0976665,2.4368334,1.4838333,1.2138333,0.55466664,0.5161666,0.7581666,0.3198333,0.5815,1.2444999,0.10316666
119,2019,0.29266664,-0.16766666,-0.525,1.4716666,0.4893333,1.1293333,0.94816667,0.7388333,1.0799999,0.38916665,1.1766666,-0.79583335
120,2020,-0.41550002,0.7273333,-0.71049994,0.08416666,0.049333334,-0.6458333,1.2229999,1.003,1.5931666,1.1144999,0.028166668,0.435
121,2021,0.62366664,2.3385,2.4153333,0.72066665,-0.80599993,-0.6843334,1.1091666,1.0645,0.9173333,0.9948333,0.6995,0.2808333
122,2022,-0.050833333,0.52016664,3.3815,3.4878335,1.5695,0.6801666,0.35083333,0.5483333,0.9948333,0.5638333,1.2028333,1.371
123,2023,-0.020166665,3.0138333,1.1771666,-0.3095,-1.2811666,-0.33766666,0.5035,1.1768334,1.5439999,,,
